RH stavby s.r.o. (906443936) 
GMJ spol. s r.o. (25529064) 
"AXXA, s.r.o. (25292617) "
MOZIS s.r.o. (28940083) 
Miroslav Kůrka (16852290) 
Jiří Andrlík (18880959) 
"STORMEN,spol. s r.o. (25073371) "
Saportan s.r.o. (25228170) 
mmcité + a.s. (25330781) 
"ATOL - Mat, s.r.o. (25419889) "
STRABAG Rail a.s. (25429949) 
RUBIKON stavby s.r.o. (25686313) 
VARIO VILA s.r.o. (25860925) 
Stavsen s.r.o. (26446570) 
"Stavokomfort, spol. s r.o. (26781379) "
TERS PLUS s.r.o. (26830299) 
LAJTIZOL s.r.o. (4102192) 
Michal Vančuřík (7438348) 
Roman Šikula (11480831) 
Jiří Havel (13141678) 
Ing. Marek Eliáš (16462122) 
"GREMIS, s.r.o. (15544451) "
KRBY-KAMNA TURYNA s.r.o. (24228117) 
"HELLMICH, spol. s r.o. (25218948) "
Jakub Neoral (1728230547) 
"Západočeská stavební společnost, s.r.o. (25215566) "
PODMOKELSKÁ STAVEBNÍ SPOLEČNOST s.r.o. (25014455) 
Figarostav s.r.o. (25501976) 
HAUSTAV s.r.o. (25420810) 
HYDOR s.r.o. (25818457) 
AKO servis a.s. (26023253) 
Pavel Bíca s.r.o. (26047314) 
Dřevodomy a chaty Havelka s.r.o. (26055961) 
HORIZONT - NARE   s.r.o. (25867555) 
ROKTES s.r.o. (26309220) 
"Spro stavby, obchod, dopravu a služby, s.r.o. (26823411) "
Stavební dodávky s.r.o. (26684209) 
INDECO stavební s.r.o. (27150780) 
"VEMDALEN GROUP, s.r.o. (27672158) "
VR SPEDO s.r.o. (27653196) 
HANSPAULSKÉ STAVITELSTVÍ s.r.o. (27387372) 
STAVO - Karel Černoch s.r.o. (27770907) 
Sanace a stavby APOLLO s.r.o. (27778428) 
"STAKL - stavby a střechy, s.r.o. (27397190) "
Pozemní stavby DUVE s.r.o. (28111729) 
STAVEBNA Václav Nejedlý s.r.o. (28131151) 
"STANĚK - STŘECHY, s.r.o. (27728676) "
VALMAK-STAV Frýdek s.r.o. (28563280) 
Stavitelství Zemánek s.r.o. (29353068) 
UL Stavby s.r.o. (28742575) 
GAULT s.r.o. (28467337) 
PANEL - PROJEKT s.r.o. (28540930) 
Josef Voříšek (40163016) 
"Hartman a spol, s.r.o. (40229050) "
"B R E X,  spol. s r.o. (40232549) "
Pavel Šalom (40507726) 
František Zahrádka (42130450) 
KAREL ŠEDA (43124046) 
Karel Ševčík (42057446) 
Dimitar Atanasov (43477186) 
UNISTAD spol. s r.o. (43961045) 
Vladimír Beneš (2050939248) 
Miloš Jelínek (46012893) 
ReSpol s. r. o. (46580646) 
"Lias Vintířov, lehký stavební materiál k.s. (46882324) "
RENOVA stavební a obchodní společnost s r.o. (46992707) 
Technická univerzita v Liberci (46747885) 
Alexander Čižnár (49163876) 
"AQUARES, spol. s r.o. (60069929) "
KRAUS IZOLACE s.r.o. (60463813) 
"JOSEF ADAM, spol. s r.o. (60736445) "
"ČEMAT, s.r.o. (60776480) "
Pavel Provazník (62987577) 
Vladimír Cenker (62650599) 
Roman Žembery (62963201) 
Roman Sedlák (65186443) 
Zdeňka Čevelová (65381726) 
Petr Hladík (65530381) 
Jaroslav Kelbl (67594182) 
Tomáš Vančura (67567380) 
Miloš Kaderka (68076061) 
Martin Holas (68273312) 
Pavel Hummel (70614393) 
Jan Jíška (69927049) 
Jan Štěpánovský (71302701) 
Jan Tomšovský (72880058) 
David Král (72972858) 
Jiří Kopa (73372676) 
Milan Písek (74748581) 
Martin Tydlačka (75730057) 
Martin Škoula (86566148) 
Ivan Šestina (87107937) 
Dopravní stavby Smrčka s.r.o. (98437369) 
SVOJAN s.r.o. (117659552) 
BJ-STAV Bohemia s.r.o. (135867191) 
David Hradílek (149539597) 
"Connexia construction, s.r.o. (176503445) "
"MANDSANIE, s.r.o. (203698059) "
SAMKOSTAV s.r.o. (223610666) 
MTM PROSTAV s.r.o. (267385447) 
Zbyšek Fruhwirt (264197326) 
Jiří Kuřitka (304806013) 
Zdeněk Máša (343940682) 
Papřok s.r.o. (348400592) 
BRAMBERK s.r.o. (452213059) 
Miroslav Kršík (503552855) 
FOX property a.s. (566738556) 
Václav Vališ (572640538) 
LEKO REAL s.r.o. (580505442) 
Jiří Kleňha (599152074) 
Miroslav Dlabaja (603327278) 
VPP Group a.s. (606284930) 
KT reko-interier s.r.o. (615679772) 
Nikolas Baroš (617870111) 
SIMPLY WOOD spol. s r.o. (632524729) 
KOMINEX CZ s.r.o. (657068234) 
pero_wood s.r.o. (696417226) 
Beskyd House s.r.o. (776745497) 
MON-IZOL s.r.o. (787494973) 
MALANG s.r.o. (838208913) 
HOPA stavby s.r.o. (836654942) 
Jan Zima (841304406) 
Jiří Richter (854150348) 
Pavel Formánek (870955820) 
Izolsolution s.r.o. (885183799) 
Libor Svárovský (72158891) 
CREATIVO a.s. (899262136) 
MahonyDesign s.r.o. (921684949) 
"MVPSTAV, s.r.o. (958893815) "
Ing. Tomáš Ambrož (976042202) 
Aleš Svoboda (1074052954) 
Dstav - cz s.r.o. (1094467587) 
Stepan Tupychak (1156655321) 
GEORAP s.r.o. (1219262813) 
Jiří Jindra (1240765587) 
PROMSAT CZ s.r.o. (1265139546) 
Zdeněk Kráčalík (1324668694) 
David Slaný (1398386473) 
Martin Cík (1400245143) 
"ReStav, stavební činnost s.r.o. (1426717992) "
FAMISTA s.r.o. (1439337394) 
AK INTERIER s.r.o. (1476670101) 
ROLLER s.r.o. (1475619305) 
Floor-Design CZ s. r. o. (1493230786) 
STABIA s.r.o. (1486070718) 
Pasidum s.r.o. (1552581100) 
IPESIS s.r.o. (1596111075) 
Dušan Večerek (1728729097) 
Adam Kimla (1783407417) 
PBL Technika s.r.o. (1793274338) 
ERA PLUS a.s. (1932159137) 
Filip Fejfar (2047266212) 
AKS stav s. r. o. (2055164298) 
Petr Müller (2147427548) 
Stanislav Návrat (10323074) 
Ing. Vít Lesák (12696838) 
"TAŽENÉ KONSTRUKCE, spol. s r. o. (15050238) "
Rostislav Hilse (16936531) 
MK Střechy s.r.o. (416787785) 
HPK Stavby s.r.o. (24737740) 
KERMEN LOBRI s.r.o. (24152951) 
Stavitelství MAAD s.r.o. (24804142) 
TIS - CR s.r.o. (25260103) 
StavTechnologic spol. s r.o. (24846911) 
"IRSA, veřejná obchodní společnost (25290100) "
Natura Space CZ s.r.o. (22793381) 
"STAVEXA - stavebniny , spol. s r.o. (25058185) "
SET trade s.r.o. (25390465) 
"NBS Invest, a.s. (25815288) "
VERTITECH CZ s.r.o. (25655655) 
NEST.HB spol. s r.o. (25929011) 
nepoužívat THB INVEST a.s. (26045265) 
HABAU CZ s.r.o. (26068338) 
KS pozemní stavby s.r.o. (26181207) 
H MONT servis s.r.o. (26380056) 
TIPO-STAV s.r.o. (26078104) 
"VELKOPOPOVICKÁ STAVEBNÍ, s.r.o. (26440610) "
Gostas s.r.o. (26759691) 
IZOLACE MALINA s.r.o. (26914859) 
ACTISTAV spol. s r.o. (27128130) 
ALTERINVESTA CZ s.r.o. (27507629) 
Vanko CZ s.r.o. (27511936) 
Erudin s. r. o. (27619893) 
"SOME CZ, s.r.o. (27438171) "
"S.V.I. stav, s.r.o. (27953203) "
"ZK stavby, s.r.o. (28269667) "
TRIST INVEST s.r.o. (28288564) 
Stavby a střechy S&H s.r.o. (28371763) 
STŘECHMONT - STAV s.r.o. (28620020) 
Euro DŘEVOSTAVBY s.r.o. (28632737) 
RB Moravia Structure s.r.o. (28658418) 
ZE stavby s.r.o. (28736249) 
Mladoňovská s.r.o. (29390478) 
Jaroslav Demel (42948738) 
Miroslav Verbič (43336035) 
Ing. Karel Žáček (43474438) 
Jaroslav Zoglauer (44663510) 
Radek Cibulka (45034261) 
Aleš Berka (45231567) 
"EUROVIA CS, a.s. (45274924) "
Energie - stavební a báňská a.s. (45146802) 
Milan Říha (46700145) 
A N E M O N E spol. s r.o. (46711899) 
Marian Ješko (46732977) 
Lucon CZ s.r.o. (47545941) 
Moravská stavební unie - MSU s.r.o. (48529303) 
KN - STAV s.r.o. (49101374) 
PREFA PRAHA a.s. (60192356) 
Pavel Kukač (60658134) 
ASIZ s.r.o. (60752271) 
Radovan Ducháček (60890959) 
"STAVOFIN, s.r.o. (60932163) "
Ing. Aleš Brzák (61908240) 
"LEVEL Hlinsko, spol. s r.o. (64793354) "
STAVBY LORENC s.r.o. (64942007) 
"Stavební řemesla - Zeman, s.r.o. (64946134) "
3 R v.o.s. (64572129) 
Richard Hájek (63723255) 
Petr Urban (64473279) 
Adolf Hartel (64952118) 
Marek Kohút (67598170) 
Roman Janouš (67958974) 
Petr Ševčík (68026463) 
Marcel Čermák (67873863) 
Karel Poláček (70775133) 
Róbert Šamaj (70258490) 
Jiří Klimeš (71543546) 
Robin Grygar (71910085) 
Libor Hnát (74256769) 
Jan Sochna (75634872) 
Radek Trunčík (74688057) 
Petr Pluhař (76592817) 
Milan Pekař (187890163) 
"H-inženýring, s.r.o. (237196431) "
BLACKBACK s.r.o. (261962277) 
IARI - STAV s.r.o. (292426235) 
MIRMAR STAVBY s.r.o. (360428123) 
STŘECHY JAZ s.r.o. (367968408) 
MITRU.cz s.r.o. (403314678) 
Josef Anděl (422254012) 
EUROBYT design s.r.o. (439083918) 
VODOPLAST s.r.o. (505892950) 
RM-mont s.r.o. (531364343) 
TISÍC STAVEB s.r.o. (552475077) 
VV TOP s.r.o. (558787509) 
Martin Roub (661428665) 
Radek Fojtík (668224267) 
MADOS Group s.r.o. (673679216) 
Ing. Jan Zuzánek (750635599) 
JAMISTYL OKNA s.r.o. (751393738) 
Tomáš Hruška (760590097) 
Mudicon s.r.o. (799117031) 
STAVTEN s.r.o. (792120537) 
Tomroof s.r.o. (792561960) 
Bureš Stavební s.r.o. (857669704) 
SHORT s.r.o. (974648660) 
STAMA GROUP  s.r.o. (968131044) 
Jan Vlasák (981493627) 
TESKON s.r.o. (1014570854) 
Martin Škoda (1013476614) 
Josef Holínek (1030219277) 
KK - Kompletní stavební práce s.r.o. (1046133543) 
Stavby Foltín s.r.o. (1060421493) 
Ing. Radek Martínek (1193582233) 
PRUEBA s.r.o. (1205831104) 
FEENIX SANACE s.r.o. (1255861204) 
Petr Hromas (1270873743) 
FOLZA s.r.o. (1293533347) 
STATEO PJ s.r.o. (1335270861) 
Krajčí building company s.r.o. (1449452130) 
Milan Kratochvíl (1474890102) 
Tomáš Svoboda (1493454940) 
"PEDASTA dopravní stavby, s.r.o. (1489205471) "
František Štochl (1507250543) 
Petr Zdeněk (1507361027) 
Pollak - Stavgroup s.r.o. (1546473628) 
MALSTAV s.r.o. (1546543489) 
AG Panel s.r.o. (1676094813) 
Radek Mazuch (1675716912) 
"M & J - stav, s.r.o. (1746129560) "
Jakub Javůrek (1746566365) 
Jan Červenka (1752803460) 
David Adámek (1910484124) 
"Jesenická vodohospodářská společnost, spol. s r.o. (1995081213) "
"ČSS, z.s. - sportovně střelecký klub TÁBOR (2121394917) "
Lukáš Janáček (9174085) 
Václav Ruber (11509945) 
Ivo Plšek (18154620) 
"ISSO - Inženýrské stavby Sokolov, s. r. o. (18248675) "
WAREX spol. s r.o. (18628419) 
Vertikal 11 s.r.o. (24136085) 
TELKONT s.r.o. (25467069) 
rame group s.r.o. (25476416) 
"SIDO, spol. s r.o. (25527711) "
GF CZ s.r.o. (25580191) 
"STAVEXPO, a.s. (25644301) "
KAVAS TRADE s.r.o. (26067021) 
"SOPAT CZ, s.r.o. (25857282) "
Naturmont s.r.o. (26177285) 
"ASPIRANT, spol. s r.o. (26280876) "
Miroslav Hovan (26488850) 
eSVe Stav s.r.o. (26404826) 
BORGA s.r.o. (26243521) 
"POHL INVEST, s.r.o. (26836742) "
DARREN stav s.r.o. (26858053) 
"STAVBY POLÍVKA, s.r.o. (27131734) "
HK-DŘESTAV s.r.o. (27367339) 
TB BUILDING s.r.o. (28066987) 
MANASTAV spol. s.r.o. (28198336) 
K.S.H. group s.r.o. (28272595) 
TOP stavebniny s.r.o. (28683153) 
InStaPro s.r.o. (29133726) 
MK profiservis s.r.o. (29158087) 
EKOZIS spol. s r. o. (41031024) 
"SONOR, společnost s ručením omezeným (40525716) "
Technické služby Dačice s.r.o. (44355629) 
Lesostavby Frýdek-Místek a. s. (45193118) 
Martin NÁPRSTEK (45139954) 
"FALTON , spol. s r.o. (46905804) "
PENTAS s.r.o. (48038946) 
VELSTAV spol. s r.o. (48538876) 
Roman Jedlička (48730467) 
"ADAPTO, spol. s r.o. (48269620) "
JVS spol. s r.o. (49968602) 
Georgij Filip (60638028) 
"KKS-SERVIS, spol. s r.o. (60748044) "
Roman Kupčík (62296973) 
Ing. Petr Večeřa (60803231) 
PILA UNION s.r.o. (62741918) 
EUROBLOK spol. s r.o. (63146525) 
Jaroslav Bartůněk (64046117) 
Michal Jansa (66284309) 
Martin Janko (65986016) 
Rudolf Barák (67096093) 
Pavel Hajný (68504837) 
Stanislav Šturc (67867464) 
František Král (68329024) 
Michal Neliba (68982291) 
Martin Kazík (70249504) 
Filip Hrozný (72445831) 
Milan Janecký (73647713) 
Ondřej Plojhar (75176840) 
Radim Chvátal (76463788) 
Marek Skopal (76183211) 
AMME Projekt s.r.o. (94631922) 
"SVIPP, s.r.o. (100048939) "
"REKONY.cz-domy a byty, s.r.o. (116338435) "
Taurus Building s.r.o. (146466382) 
DVV STAV s.r.o. (167667020) 
Robert Školník (194838709) 
Alena Töllichová (220965706) 
PERFECTED s.r.o. (229651089) 
IZS s.r.o. (261668274) 
EUROEKO STAVBY s.r.o. (333659400) 
"SPORTOVNÍ PODLAHY ZLÍN, s.r.o. (356886819) "
J3S s.r.o. (431989108) 
ALTESE s.r.o. (489671445) 
M+S Style s.r.o. (577215297) 
Jakub Novák (594130964) 
AlfaSky s.r.o. (604057091) 
HAPASTAV CZ s.r.o. (623702105) 
Radek Sekera (644718215) 
Oldřich Smíšek (656218676) 
BYTOVÉ STUDIO DAWER s.r.o. (731024695) 
"B&Bartoni, spol. s r.o. (753329551) "
BH System s.r.o. (837094755) 
"BETOCHEM, s.r.o. (250181460) "
Novamont Polička s.r.o. (938980044) 
Michal Vála (972532422) 
Filip MARTÍNEK (998714976) 
Lukáš Rytíř (1005566890) 
Rammsta s.r.o. (1016456015) 
Oleh Malik (1014203795) 
REZEK Group a.s. (1023496185) 
VYSSPA Sports Technology s.r.o. (1075492910) 
"Výztuž CZ, s.r.o. (1143492545) "
Michal Jirotka (1150542931) 
TRACOR CZ s.r.o. (1176508792) 
Martin Krejčiřík (1276938036) 
A1 Komplet s.r.o. (1278035838) 
GROVE STAV s. r. o. (1282672931) 
SIBATECH CZ spol. s r.o. (1314025792) 
UNISKELET s.r.o. (1324861180) 
Money Trust s.r.o. (1325151947) 
Stavební MST s. r. o. (1356410341) 
Zdeněk Jindra (1479720099) 
CAPEXUS s.r.o. (1520126576) 
ONEMIX s.r.o. (1656503405) 
Milan Vaníček (1668867312) 
ATLEAF s.r.o. (1758706945) 
Supaplex s.r.o. (266574907) 
Emil Pintě (1872755045) 
POWER GET s.r.o. (1927047000) 
Ota Jelonek (1980880786) 
KARTEP s.r.o. (2001343293) 
"ASTRON services, s.r.o. sociální podnik (2027743591) "
GAPEOLT s.r.o. (2066772319) 
Mitre Group s.r.o. (2076685505) 
TERNOGROUP s.r.o. (2090737398) 
RT ROOF s.r.o. (2111224239) 
Jiří Hašek (2147416714) 
Jiří Šubrt (2147417798) 
Jaromír Čermák (2147435011) 
Radim Šenkeřík (2147438475) 
Alexandr Mojdl (7132682) 
Ivan Poljak (10181709) 
Milan Berka (11327278) 
Václav Rokyta (12102156) 
Josef Kujan (14844109) 
AGILE spol. s r.o. (15030741) 
LBtech a.s. (15035808) 
Milan Cibulka (14491800) 
Roman Divina (14583054) 
Stavební společnost SIPA s.r.o. (14704668) 
INSEBO spol. s r.o. (18827942) 
"IMM STAVBY, s.r.o. (24752061) "
F. KONRÁD s.r.o. (25047809) 
"TEPKOM, spol s r.o. (25142160) "
"FIRESTA-Fišer, rekonstrukce, stavby a.s. (25317628) "
KOMPAKTA INVEST a.s. (25329120) 
"LIVAIZOL, s.r.o. (25421824) "
"HOFNAR, s.r.o. (25591827) "
"VAPEL plus, s.r.o. (25457411) "
STANO PRAHA a.s. (25680081) 
Auböck s.r.o. (26089785) 
RYTA s.r.o. (26354870) 
CallPro s.r.o. (26420210) 
Střechy Novotný s.r.o. (26438461) 
DOLEŽEL spol. s r.o. (26514737) 
ZEMSTAV RÉZNER s.r.o. (26863804) 
Stavitelství Khýr s.r.o. (26880563) 
"Domesi, s.r.o. (27228860) "
JK stav - realizace staveb s.r.o. (27328121) 
NATURTEP spol. s r.o. (27347311) 
"Areamont,  s.r.o. (27107230) "
THS STAVEBNÍ s.r.o. (27497291) 
"TPKV, s.r.o. (26929350) "
GT Construct s.r.o. (27280560) 
VERBAU s.r.o. (27119025) 
HBK STAV s.r.o. (28133358) 
STAVEN-BYT  s.r.o. (27961664) 
AROSTAV ZNOJMO s.r.o. (28329503) 
Ridelli Construction s.r.o. (28581334) 
VK střechy a půdní vestavby s.r.o. (28814436) 
TOMISTAV s.r.o. (28462491) 
David Prek (32253759) 
"MONOLIT Praha, spol. s r.o. (48585742) "
AMA s.r.o. - architektonicko - stavební ateliér (48109177) 
Náboženská společnost Svědkové Jehovovi (60163291) 
ISO Praha spol. s r.o. (60199962) 
Roman Kučera (60823020) 
Radek Pospíšil (61531308) 
"ROVAX, spol. s r.o. (60733900) "
STRABAG a.s. (60838744) 
"VERTIGO Písek, s.r.o. (61065251) "
Karel Fuksa (62505365) 
Jiří Beneš (65656938) 
Tomáš Kracík (66314887) 
Ing. Lumír Kořenský (66928133) 
Karel Souček (65659562) 
Radek Plachý (65962737) 
Milan Szabo (66079721) 
Mgr. Pavel Hříbal (67747221) 
Josef Zahoř (67084281) 
Tomáš Soukup (69249890) 
Jiří Choutka (69562385) 
DAHERM stavby s.r.o. (72199629) 
Miroslav Burík (72680695) 
Vladimír Ureš (72009454) 
Miroslav Turoň (74588427) 
František Nedorost (73478555) 
František Fornůsek (74662864) 
René Barnet (74676806) 
Nenat Ahmed (88864031) 
Podlahy Gajdoš s.r.o. (91494932) 
MDR Stavby s.r.o. (92231670) 
